嘉峪关市,620200
澳门特别行政区,820000
六安市,341500
安庆市,340800
梧州市,450400
西沙群岛,469037
巴彦淖尔市,150800
萍乡市,360300
张家口市,130700
保山市,530500
朝阳市,211300
湛江市,440800
大同市,140227
崇左市,451400
绍兴市,330621
德宏傣族景颇族自治州,533100
松原市,220700
长沙市,430121
乌海市,150300
信阳市,411500
克拉玛依市,650200
衡水市,131100
上饶市,361121
漯河市,411100
兴安盟,230405
锡林郭勒盟,152500
赤峰市,150400
眉山市,511181
锦州市,210700
衡阳市,430421
汕尾市,441500
吉林市,220200
济源市,410881
五家渠市,659004
延安市,610600
成都市,510100
郑州市,410100
防城港市,450600
铜陵市,340700
开封市,410224
天水市,620500
东莞市,441900
南昌市,360100
平顶山市,410400
潍坊市,370700
阿拉善盟,152922
新乡市,410721
佛山市,440600
昌都地区,542100
景德镇市,360200
焦作市,410800
乌兰察布市,150900
包头市,150200
克拉玛依市,650203
益阳市,430900
黄山市,341003
舟山市,330900
七台河市,230900
白山市,220600
南通市,320600
资阳市,430902
阜新市,210921
莆田市,350300
荆门市,420800
白沙黎族自治县,469030
荆州市,421000
南充市,511300
河源市,441600
常州市,320400
香港特别行政区,810000
甘孜藏族自治州,513300
毕节地区,522400
株洲市,430200
凉山彝族自治州,513400
呼伦贝尔市,150700
保定市,130600
阜新市,210900
鄂州市,420700
三亚市,460200
东营市,370500
昌江黎族自治县,469031
厦门市,350200
绵阳市,510700
绥化市,231200
宿州市,341300
泰州市,321200
定西市,621100
恩施土家族苗族自治州,422800
南宁市,450100
清远市,441800
盐城市,320900
阿坝藏族羌族自治州,513200
广安市,511600
台州市,331000
商丘市,411400
江门市,440700
赣州市,360700
渭南市,610500
抚顺市,210421
嘉兴市,330400
抚顺市,210400
烟台市,370600
常德市,430700
淄博市,370300
朝阳市,220104
玉林市,450900
长治市,140400
来宾市,451300
许昌市,411000
上饶市,361100
黔南布依族苗族自治州,522700
银川市,640100
山南地区,542200
驻马店市,411700
濮阳市,410928
大连市,210200
黄冈市,421100
佳木斯市,230800
岳阳市,430602
郴州市,431000
自贡市,510300
安顺市,520400
阳江市,441700
铁岭市,211200
鹰潭市,360600
宜春市,360900
鞍山市,340500
中沙群岛,469039
泰安市,370900
巴音郭楞蒙古自治州,652800
遵义市,520321
屯昌县,469026
双鸭山市,230500
庆阳市,621000
宝鸡市,610300
资阳市,512000
池州市,341700
秦皇岛市,130300
巢湖市,341400
宜昌市,420500
廊坊市,131000
兴安盟,450325
宜宾市,511521
黔西南布依族苗族自治州,522300
武威市,620600
大同市,230606
朝阳市,110105
南京市,320100
枣庄市,370400
潜江市,429005
伊春市,230702
芜湖市,340221
衢州市,330800
岳阳市,430600
乐东黎族自治县,469033
牡丹江市,231000
伊犁哈萨克自治州,654000
阿里地区,542500
